"Counts_List","sample_id_ori","Estimated Number of Cells","Mean Reads per Cell","Median Genes per Cell","Number of Reads","Valid Barcodes","Sequencing Saturation","Q30 Bases in Barcode","Q30 Bases in RNA Read","Q30 Bases in Sample Index","Q30 Bases in UMI","Reads Mapped to Genome","Reads Mapped Confidently to Genome","Reads Mapped Confidently to Intergenic Regions","Reads Mapped Confidently to Intronic Regions","Reads Mapped Confidently to Exonic Regions","Reads Mapped Confidently to Transcriptome","Reads Mapped Antisense to Gene","Fraction Reads in Cells","Total Genes Detected","Median UMI Counts per Cell","Date","Project","sample_id","Done","Agg","Status","molecule_h5","root","Disk","CountsFolder","Final_Folder","FileNameAggr","FileNameMetrics","Metrics"
102,"STARR_041_combine_force",10000,90792,3224,907920112,98,72.9,95.3,93.6,NA,94.8,94.4,82.3,7.3,54,21,68.1,4.9,77.6,28775,8116,NA,"STARR","STARR_041","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_combine_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_041_combine_force/outs/metrics_summary.csv"
103,"STARR_15_premrna",4506,6911,1082,31144490,97.3,7.4,93.1,83.2,92,91.8,75.9,69.2,7.7,0,61.5,55.5,3.8,65.9,22910,1628,NA,"STARR","STARR_015","Sean","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/STARR_15_premrna/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/STARR_15_premrna/outs/metrics_summary.csv"
104,"STARR_049",8464,64720,3402,547787375,97.4,59.2,94.7,93.4,NA,94.2,96.3,89.7,7.9,61.6,20.2,73.2,6.5,78.4,28242,9468,NA,"STARR","STARR_049","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_049/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210716_L2_counts_single","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210716_L2_counts_single/STARR_049/outs/metrics_summary.csv"
105,"76632_V11",6367,56543,1997,360011247,97.8,58.5,95.4,93.4,NA,94.6,94.7,87.5,8.7,58,20.8,68.5,8.3,71,27892,3575,NA,"SGLT2","76632_V11","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76632_V11/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76632_V11/outs/metrics_summary.csv"
106,"76638_V5",7769,41940,2664,325835021,97.5,46.6,95.4,93.1,NA,94.5,95.7,89.8,8.1,60.2,21.5,68.2,11.6,88.4,28402,6338,NA,"SGLT2","76638_V5","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5/outs/metrics_summary.csv"
107,"76638_V5_Muscle",14491,23188,1227,336023509,96.8,55.6,95,91.8,NA,94,86.7,67.7,5.1,42.7,19.9,57,4.1,54,25901,2145,NA,"SGLT2","76638_V5_Muscle","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5_Muscle/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5_Muscle/outs/metrics_summary.csv"
108,"76638_V5_Muscle_force",10000,33602,1484,336023509,96.8,55.6,95,91.8,NA,94,86.7,67.7,5.1,42.7,19.9,57,4.1,46.8,25507,2822,NA,"SGLT2","76638_V5_Muscle","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5_Muscle_force/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76638_V5_Muscle_force/outs/metrics_summary.csv"
109,"76643_V5",3870,91629,1890,354602695,97.9,69.3,95.3,91.3,NA,94.6,92.4,84.9,8.5,57,19.5,66.9,7.6,74.9,27584,3160,NA,"SGLT2","76643_V5","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76643_V5/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76643_V5/outs/metrics_summary.csv"
110,"76647_V5",11600,41417,2918,480438646,97.1,30.7,95.4,91.1,NA,94.5,84.9,76.1,8.1,51.9,16.1,56.9,9.5,66.5,29092,6946,NA,"SGLT2","76647_V5","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76647_V5/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76647_V5/outs/metrics_summary.csv"
111,"76649_V5",14332,34649,2139,496591233,96.8,50.1,95.7,93.5,NA,94.8,95.9,90.8,7.4,61,22.3,53.9,28,82.1,29429,4192,NA,"SGLT2","76649_V5","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76649_V5/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/76649_V5/outs/metrics_summary.csv"
112,"STARR_051",9287,34393,2645,319404242,97.6,40,95.3,93.9,NA,94.3,94.7,88.8,8.1,59.9,20.8,68.9,9.8,65.7,27771,5931,NA,"STARR","STARR_051","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/STARR_051/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210830_L3_counts_dual","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210830_L3_counts_dual/STARR_051/outs/metrics_summary.csv"
113,"STARR_028_force2000",2000,280693,2074,561385615,97.9,94.5,95.6,92.7,NA,95.2,94.7,86.1,9,50.9,26.2,71.4,3.8,72.8,24945,4306,20211103,"STARR","STARR_028","Sean","Yes",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028_force2000/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_028_force2000/outs/metrics_summary.csv"
114,"STARR_015_Next",4756,6548,1178,31144490,97.3,7.9,93.1,83.2,NA,91.8,92.3,82,8.5,56.3,17.2,66.6,4.9,65.4,24126,1809,NA,"STARR","STARR_015","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/STARR_015_Next/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20190717_NextSeq_fastq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20190717_NextSeq_fastq_Counts/STARR_015_Next/outs/metrics_summary.csv"
115,"STARR_039_force2000",2000,359483,1551,718965036,97.9,93.1,95.6,92.5,NA,94.9,89.3,78.7,7.2,48.9,22.6,64.7,4.8,52.9,24674,2616,20211103,"STARR","STARR_039","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force2000/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210126_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force2000/outs/metrics_summary.csv"
116,"STARR_032_force2500",2500,177796,1830,444489382,97.9,90.2,95.4,92.9,NA,95.1,90.8,80.5,7.7,56.3,16.4,67.1,3.5,56.1,24041,3509,20211106,"STARR","STARR_032","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force2500/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force2500/outs/metrics_summary.csv"
117,"STARR_031_force2600",2600,166185,2006,432080145,97.3,76.9,95.4,92.7,NA,95,94.6,77.6,7.4,50.9,19.3,64.6,3.7,40.4,25038,3828,20211103,"STARR","STARR_031","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2600/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2600/outs/metrics_summary.csv"
118,"STARR_032_force2000",2000,222245,2010,444489382,97.9,90.2,95.4,92.9,NA,95.1,90.8,80.5,7.7,56.3,16.4,67.1,3.5,51.3,23813,4002,20211108,"STARR","STARR_032","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force2000/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_032_force2000/outs/metrics_summary.csv"
119,"STARR_031_force2000",2000,216040,2356,432080145,97.3,76.9,95.4,92.7,NA,95,94.6,77.6,7.4,50.9,19.3,64.6,3.7,38.1,24859,4890,20211108,"STARR","STARR_031","Jia","no",NA,"/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2000/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_1","20191121_NovaSeq_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_1/20191121_NovaSeq_Counts/STARR_031_force2000/outs/metrics_summary.csv"
120,"STARR_039_force1500",1500,479310,1818,718965036,97.9,93.1,95.6,92.5,NA,94.9,89.3,78.7,7.2,48.9,22.6,64.7,4.8,49.8,24419,3237,20211103,"STARR","STARR_039","Jia","Yes",NA,"/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force1500/outs/molecule_info.h5","/media/jianie/","Seagate_SequencingFiles_2","20210126_UTA_NovaSeq_L3_Counts","/outs/","molecule_info.h5","metrics_summary.csv","/media/jianie/Seagate_SequencingFiles_2/20210126_UTA_NovaSeq_L3_Counts/STARR_039_force1500/outs/metrics_summary.csv"
